PANGAEA Sample ID,Mean_Date [YY/MM/DD hh:mm]*,Mean_Lat*,Mean_Long*,Mean_Depth [m]*,Mean_Temperature [deg C]*,Mean Depth MLD Sigma [m]*,Mean_Salinity [PSU]*,Mean_Oxygen [umol/kg]*,Mean_Nitrates[umol/L]*,NO2 [umol/L]**,PO4 [umol/L]**,NO2NO3 [umol/L]**,SI [umol/L]**,"AMODIS:PAR8d,Einsteins/m-2/d-1",Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,retention,Mean Depth Max Fluo [m]*,Mean Depth Max N2 [m]*,Mean Depth Max O2 [m]*,Mean Depth Min O2 [m]*,Mean Depth Nitracline [m]*,miTAG.SILVA.Taxo.Richness,miTAG.SILVA.Phylo.Diversity,miTAG.SILVA.Chao,miTAG.SILVA.ace,miTAG.SILVA.Shannon,OG.Shannon,OG.Richness,OG.Evenness,FC - heterotrophs [cells/mL],FC - autotrophs [cells/mL],FC - bacteria [cells/mL],FC - picoeukaryotes [cells/mL],minimum generation time [h]
TARA_B100002052,1/9/12 21:30,25.66,-88.47,123.7,24.9,142,36.2,193.0,0.4,0.02,0.02,0.06,1.17,NA,-3.49,0.06,NA,43.44,50,151,244,485,271,3131,486,4745,4636,6.80,7.20,18707,0.732,602824,66588,669412,1253,11
TARA_B100000900,4/21/11 20:16,-5.25,-85.16,5.5,24.9,18,34.7,206.0,11.7,0.32,1.00,12.60,5.00,42.1,0.00,0.04,1.80,3.75,37,36,29,353,41,2293,357,3198,3093,6.62,7.13,13566,0.750,1032721,192335,1225056,19091,12
TARA_R100000234,5/17/10 15:34,-16.96,54.01,79.0,24.9,47,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0.00,71,69,333,441,148,NA,NA,NA,NA,NA,NA,NA,NA,393152,153771,546924,3775,NA
TARA_B100000214,5/17/10 15:34,-16.96,54.01,79.0,24.9,47,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0.00,71,69,333,441,148,2558,398,3632,3553,6.65,7.11,15564,0.737,393152,153771,546924,3775,13
TARA_Y100001973,7/28/11 19:36,-8.98,-139.20,113.3,24.7,71,36.1,179.9,2.3,0.10,0.59,2.80,1.80,39.6,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,386471,83890,470361,1055,NA
TARA_Y100001970,7/28/11 19:36,-8.98,-139.20,113.3,24.7,71,36.1,179.9,2.3,0.10,0.59,2.80,1.80,39.6,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,386471,83890,470361,1055,NA
TARA_B100000700,7/28/11 19:36,-8.98,-139.20,113.3,24.7,71,36.1,179.9,2.3,0.10,0.59,2.80,1.80,39.6,0.00,0.02,NA,8.42,99,107,29,232,203,3284,512,4766,4571,6.80,7.31,19658,0.739,386471,83890,470361,1055,15
TARA_Y100001968,7/28/11 19:36,-8.98,-139.20,113.3,24.7,71,36.1,179.9,2.3,0.10,0.59,2.80,1.80,39.6,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,386471,83890,470361,1055,NA
TARA_B100000941,6/14/11 16:54,-23.28,-129.40,5.4,24.2,131,36.5,202.2,-0.9,0.01,0.14,0.03,0.80,27.0,-0.06,0.03,0.44,17.22,159,155,162,532,431,2653,421,4081,4021,6.52,7.12,16502,0.733,493328,118066,611394,321,15
TARA_R100001082,10/5/10 12:42,-8.70,-17.94,95.4,24.1,75,36.6,194.4,0.2,0.01,0.14,0.04,1.32,40.4,0.04,0.02,1.02,0.00,97,98,29,270,132,NA,NA,NA,NA,NA,NA,NA,NA,302791,123447,426238,3263,NA
TARA_B100000427,10/5/10 12:42,-8.70,-17.94,95.4,24.1,75,36.6,194.4,0.2,0.01,0.14,0.04,1.32,40.4,0.04,0.02,1.02,0.00,97,98,29,270,132,3000,465,4373,4263,6.70,7.17,17195,0.735,302791,123447,426238,3263,14
TARA_B100001109,5/21/11 12:37,-2.01,-84.59,5.5,23.9,22,35.0,190.8,6.7,0.31,0.75,8.20,3.90,47.2,0.02,0.00,0.43,7.03,41,81,29,347,253,2640,415,3820,3631,6.73,7.18,15814,0.743,646867,189912,836779,12656,13
TARA_X000000950,9/28/09 13:36,39.07,5.86,5.8,23.9,21,38.0,NA,NA,0.01,0.02,0.03,0.75,26.7,-0.77,0.08,0.69,13.61,53,35,NA,NA,NA,2741,414,3983,3865,6.62,7.22,15315,0.750,901463,39330,940793,1231,17
TARA_A200000113,9/23/09 15:06,37.02,1.95,7.5,23.8,18,37.5,NA,NA,0.00,0.06,0.03,0.52,29.9,-0.79,0.00,NA,4.92,44,41,NA,NA,NA,2592,401,3872,3729,6.53,7.20,15495,0.746,1004684,50586,1055270,813,14
TARA_B100000989,3/24/11 13:07,-29.72,-101.16,5.5,23.8,42,35.8,204.1,-0.4,0.00,0.16,0.02,0.53,43.2,0.02,0.01,0.51,4.25,155,52,72,473,377,2184,338,3194,3118,6.15,7.10,14496,0.741,384614,0,384614,948,16
TARA_B100000886,4/9/11 14:09,-21.15,-104.79,5.4,23.8,63,36.1,204.0,-1.7,0.00,0.29,0.04,0.55,44.6,0.00,0.00,0.71,13.53,145,72,99,388,314,2237,354,3185,3090,6.40,7.11,13751,0.746,NA,NA,NA,NA,15
TARA_Y100000593,8/9/11 19:06,-8.90,-142.58,138.2,23.7,95,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,NA,NA,NA,NA,NA,NA,NA,NA,301709,413,302122,8,NA
TARA_Y100000591,8/9/11 19:06,-8.90,-142.58,138.2,23.7,95,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,NA,NA,NA,NA,NA,NA,NA,NA,301709,413,302122,8,NA
TARA_B100001123,8/9/11 19:06,-8.90,-142.58,138.2,23.7,95,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,3359,537,5430,5408,6.34,7.25,20052,0.732,301709,413,302122,8,18
TARA_Y100000589,8/9/11 19:06,-8.90,-142.58,138.2,23.7,95,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,NA,NA,NA,NA,NA,NA,NA,NA,301709,413,302122,8,NA
TARA_R100001126,10/16/10 10:07,-20.94,-35.20,5.5,23.3,34,37.1,206.2,0.0,0.00,0.06,0.00,0.81,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,NA,NA,NA,NA,NA,NA,NA,NA,418710,191229,609939,2215,NA
TARA_Y100000816,10/16/10 10:07,-20.94,-35.20,5.5,23.3,34,37.1,206.2,0.0,0.00,0.06,0.00,0.81,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,NA,NA,NA,NA,NA,NA,NA,NA,418710,191229,609939,2215,NA
TARA_B100000513,10/16/10 10:07,-20.94,-35.20,5.5,23.3,34,37.1,206.2,0.0,0.00,0.06,0.00,0.81,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,2265,365,2710,2679,6.41,7.17,17695,0.733,418710,191229,609939,2215,16
TARA_Y100000813,10/16/10 10:07,-20.94,-35.20,5.5,23.3,34,37.1,206.2,0.0,0.00,0.06,0.00,0.81,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,NA,NA,NA,NA,NA,NA,NA,NA,418710,191229,609939,2215,NA
TARA_B100000575,5/31/11 14:12,-16.96,-100.63,5.9,22.8,67,36.0,208.9,2.6,0.04,0.50,2.68,1.00,34.2,-0.05,0.00,1.04,69.36,83,80,29,301,248,2470,390,3597,3453,6.63,7.13,14494,0.744,498513,112358,610871,5839,13
TARA_B100000945,6/15/11 2:29,-23.19,-129.54,153.5,22.3,131,35.9,207.1,0.5,0.00,0.11,0.02,0.70,24.9,-0.06,0.03,0.44,17.22,159,155,162,532,431,2987,467,4437,4283,6.58,7.17,17754,0.732,207805,106641,314446,604,14
TARA_R100000315,7/8/10 5:19,-29.54,37.94,63.6,22.3,71,35.3,207.4,-0.1,0.00,0.08,0.02,1.75,15.4,0.52,0.08,1.50,1.28,52,161,609,562,424,NA,NA,NA,NA,NA,NA,NA,NA,480670,197050,677720,7162,NA
TARA_Y100000401,7/8/10 5:19,-29.54,37.94,63.6,22.3,71,35.3,207.4,-0.1,0.00,0.08,0.02,1.75,15.4,0.52,0.08,1.50,1.28,52,161,609,562,424,NA,NA,NA,NA,NA,NA,NA,NA,480670,197050,677720,7162,NA
TARA_B100000405,7/8/10 5:19,-29.54,37.94,63.6,22.3,71,35.3,207.4,-0.1,0.00,0.08,0.02,1.75,15.4,0.52,0.08,1.50,1.28,52,161,609,562,424,2541,404,3452,3366,6.64,7.16,16260,0.739,480670,197050,677720,7162,9
TARA_R100000322,7/7/10 4:56,-29.50,37.99,5.5,22.2,71,35.3,210.0,NA,0.00,0.08,0.00,1.77,15.0,0.52,0.08,1.50,1.28,52,161,609,562,424,NA,NA,NA,NA,NA,NA,NA,NA,570751,403151,973902,7078,NA
TARA_B100000401,7/7/10 4:56,-29.50,37.99,5.5,22.2,71,35.3,210.0,NA,0.00,0.08,0.00,1.77,15.0,0.52,0.08,1.50,1.28,52,161,609,562,424,2328,363,3176,3044,6.56,7.10,13216,0.748,570751,403151,973902,7078,11
TARA_Y100001963,8/1/11 20:13,-8.90,-140.29,148.0,22.1,88,35.9,161.3,5.0,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,NA,NA,NA,NA,NA,NA,NA,NA,236172,9851,246023,191,NA
TARA_Y100001960,8/1/11 20:13,-8.90,-140.29,148.0,22.1,88,35.9,161.3,5.0,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,NA,NA,NA,NA,NA,NA,NA,NA,236172,9851,246023,191,NA
TARA_B100000686,8/1/11 20:13,-8.90,-140.29,148.0,22.1,88,35.9,161.3,5.0,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,3502,551,5632,5536,6.28,7.19,19275,0.729,236172,9851,246023,191,13
TARA_Y100001956,8/1/11 20:13,-8.90,-140.29,148.0,22.1,88,35.9,161.3,5.0,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0.00,35,122,29,339,233,NA,NA,NA,NA,NA,NA,NA,NA,236172,9851,246023,191,NA
TARA_R100001230,7/12/10 6:46,-35.19,26.29,5.9,21.8,47,35.4,207.0,NA,NA,NA,NA,NA,9.2,1.83,0.11,0.73,1.08,26,89,416,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,538371,66905,605276,6590,NA
TARA_Y100000356,7/12/10 6:46,-35.19,26.29,5.9,21.8,47,35.4,207.0,NA,NA,NA,NA,NA,9.2,1.83,0.11,0.73,1.08,26,89,416,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,538371,66905,605276,6590,NA
TARA_B000000437,7/12/10 6:46,-35.19,26.29,5.9,21.8,47,35.4,207.0,NA,NA,NA,NA,NA,9.2,1.83,0.11,0.73,1.08,26,89,416,675,NA,2521,399,3386,3306,6.60,7.13,13735,0.748,538371,66905,605276,6590,12
TARA_R100001198,7/12/10 11:25,-35.25,26.31,28.7,21.8,47,NA,206.4,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08,26,89,416,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,521106,64001,585107,6166,NA
TARA_Y100000361,7/12/10 11:25,-35.25,26.31,28.7,21.8,47,NA,206.4,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08,26,89,416,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,521106,64001,585107,6166,NA
TARA_B000000441,7/12/10 11:25,-35.25,26.31,28.7,21.8,47,NA,206.4,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08,26,89,416,675,NA,3402,530,5405,5221,6.80,7.21,18416,0.734,521106,64001,585107,6166,12
TARA_B100001113,5/21/11 23:21,-1.84,-84.63,48.7,21.8,22,35.1,144.6,10.9,0.41,0.93,10.70,6.00,46.5,0.02,0.00,0.43,7.03,41,81,29,347,253,2874,443,4207,4039,6.80,7.19,16528,0.740,NA,NA,NA,NA,10
TARA_R100001129,10/16/10 17:43,-21.05,-35.37,148.0,21.6,34,36.7,203.8,0.6,0.02,0.04,0.00,0.71,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,NA,NA,NA,NA,NA,NA,NA,NA,266887,126802,393689,3021,NA
TARA_Y100000817,10/16/10 17:43,-21.05,-35.37,148.0,21.6,34,36.7,203.8,0.6,0.02,0.04,0.00,0.71,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,NA,NA,NA,NA,NA,NA,NA,NA,266887,126802,393689,3021,NA
TARA_B100000519,10/16/10 17:43,-21.05,-35.37,148.0,21.6,34,36.7,203.8,0.6,0.02,0.04,0.00,0.71,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,3993,595,6142,6034,6.86,7.32,21732,0.733,266887,126802,393689,3021,16
TARA_Y100000814,10/16/10 17:43,-21.05,-35.37,148.0,21.6,34,36.7,203.8,0.6,0.02,0.04,0.00,0.71,NA,0.01,0.02,0.70,3.53,129,154,53,395,395,NA,NA,NA,NA,NA,NA,NA,NA,266887,126802,393689,3021,NA
TARA_A100000171,11/2/09 8:18,35.76,14.26,5.4,21.4,39,37.9,207.8,NA,0.02,0.03,0.12,0.56,22.0,0.14,0.00,NA,7.67,84,57,56,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,633618,39180,672798,947,NA
TARA_A100000164,11/2/09 8:18,35.76,14.26,5.4,21.4,39,37.9,207.8,NA,0.02,0.03,0.12,0.56,22.0,0.14,0.00,NA,7.67,84,57,56,395,NA,2754,423,4030,3931,6.61,7.14,14161,0.747,633618,39180,672798,947,14
TARA_B100001057,3/18/11 14:16,-32.78,-87.09,5.4,21.1,43,34.7,219.2,-0.4,0.00,0.28,0.03,0.09,44.3,0.00,0.05,0.73,12.97,62,53,50,287,269,2711,402,3833,3710,6.67,7.19,16192,0.741,NA,NA,NA,NA,17
TARA_B100000965,4/15/11 13:10,-12.99,-95.99,57.6,20.6,35,35.5,216.8,1.5,0.16,0.78,5.70,1.90,41.8,-0.02,0.05,0.34,8.97,61,51,52,239,146,3053,467,4404,4230,6.83,7.25,18465,0.738,384276,116141,500417,4501,14
TARA_Y200000002,9/15/09 10:15,36.55,-6.57,10.0,20.5,4,36.6,NA,NA,NA,NA,NA,NA,39.9,0.01,0.02,NA,0.00,38,18,NA,NA,NA,2718,406,3763,3680,6.64,7.15,14591,0.745,839531,54593,894124,1222,15
TARA_A100001015,12/15/09 10:40,33.92,32.89,5.4,20.5,41,39.4,207.6,-0.7,0.00,0.00,0.05,0.82,13.2,-0.86,0.03,NA,40.81,77,66,65,260,307,2215,344,3185,3027,6.38,7.12,12612,0.754,232380,36418,268797,1225,15
TARA_B100001741,2/24/12 11:41,31.70,-64.25,6.1,20.4,64,36.6,212.6,NA,0.09,0.00,0.15,0.73,NA,0.01,0.03,NA,1.19,38,176,29,262,318,2900,452,4282,4067,6.75,7.17,15943,0.741,318391,45701,364093,1911,10
TARA_B100001029,4/4/11 8:23,-25.85,-111.77,183.3,20.2,53,35.8,210.6,-0.7,0.02,0.10,0.05,0.35,44.6,-0.03,0.03,0.36,61.78,176,73,93,484,360,2717,430,3972,3844,6.47,7.10,14256,0.742,183522,85755,269276,420,13
TARA_B100000579,5/31/11 21:23,-16.96,-100.70,89.0,19.9,67,35.7,211.5,1.4,0.20,0.44,0.93,0.90,35.5,-0.05,0.00,1.04,69.36,83,80,29,301,248,2758,430,4020,3846,6.69,7.10,15057,0.738,603813,87283,691096,2476,12
TARA_R100001224,11/4/10 10:24,-30.14,-43.29,5.6,19.9,34,36.3,221.5,-0.4,0.00,0.00,0.02,0.48,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,NA,NA,NA,NA,NA,NA,NA,NA,447396,213507,660903,5498,NA
TARA_Y100000992,11/4/10 10:24,-30.14,-43.29,5.6,19.9,34,36.3,221.5,-0.4,0.00,0.00,0.02,0.48,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,NA,NA,NA,NA,NA,NA,NA,NA,447396,213507,660903,5498,NA
TARA_B100000524,11/4/10 10:24,-30.14,-43.29,5.6,19.9,34,36.3,221.5,-0.4,0.00,0.00,0.02,0.48,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,2585,416,3392,3377,6.60,7.12,15863,0.736,447396,213507,660903,5498,14
TARA_Y100000991,11/4/10 10:24,-30.14,-43.29,5.6,19.9,34,36.3,221.5,-0.4,0.00,0.00,0.02,0.48,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,NA,NA,NA,NA,NA,NA,NA,NA,447396,213507,660903,5498,NA
TARA_R100001015,9/21/10 7:05,-20.44,-3.19,5.4,19.8,147,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0.00,0.04,1.33,10.81,54,154,29,239,158,NA,NA,NA,NA,NA,NA,NA,NA,572821,117261,690082,9740,NA
TARA_Y100000768,9/21/10 7:05,-20.44,-3.19,5.4,19.8,147,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0.00,0.04,1.33,10.81,54,154,29,239,158,NA,NA,NA,NA,NA,NA,NA,NA,572821,117261,690082,9740,NA
TARA_B100000459,9/21/10 7:05,-20.44,-3.19,5.4,19.8,147,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0.00,0.04,1.33,10.81,54,154,29,239,158,2766,441,3896,3759,6.56,7.16,16493,0.737,572821,117261,690082,9740,9
TARA_Y100000766,9/21/10 7:05,-20.44,-3.19,5.4,19.8,147,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0.00,0.04,1.33,10.81,54,154,29,239,158,NA,NA,NA,NA,NA,NA,NA,NA,572821,117261,690082,9740,NA
TARA_B100000902,4/22/11 19:51,-5.27,-85.23,45.7,19.6,18,34.9,103.9,20.3,1.20,1.86,24.40,10.50,44.4,0.00,0.04,1.80,3.75,37,36,29,353,41,2931,448,4241,4111,6.78,7.17,15878,0.741,1071414,246947,1318361,13382,12
TARA_Y100000996,11/4/10 19:34,-30.15,-43.25,118.3,19.3,34,36.3,217.1,0.5,0.05,0.00,0.10,0.32,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,NA,NA,NA,NA,NA,NA,NA,NA,421977,48836,470813,2505,NA
TARA_B100000530,11/4/10 19:34,-30.15,-43.25,118.3,19.3,34,36.3,217.1,0.5,0.05,0.00,0.10,0.32,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,3458,539,4628,4592,6.83,7.18,18431,0.731,421977,48836,470813,2505,12
TARA_Y100000994,11/4/10 19:34,-30.15,-43.25,118.3,19.3,34,36.3,217.1,0.5,0.05,0.00,0.10,0.32,NA,-0.04,0.08,1.91,14.53,113,41,317,409,436,NA,NA,NA,NA,NA,NA,NA,NA,421977,48836,470813,2505,NA
TARA_B100001093,10/18/11 18:58,35.41,-127.74,5.5,19.2,10,33.1,224.4,-0.7,0.00,0.29,0.02,1.91,NA,-0.16,0.03,NA,40.67,42,38,29,635,79,2816,422,4003,3852,6.71,7.15,15279,0.742,1000349,169828,1170177,6068,13
TARA_B100001540,2/15/12 12:59,34.68,-71.30,11.7,19.1,187,36.5,214.4,0.9,0.22,0.02,0.74,0.94,NA,-2.38,0.08,NA,83.42,46,204,297,610,395,2967,459,4362,4198,6.55,7.15,15917,0.739,338145,27459,365604,4165,11
TARA_B100001996,12/11/11 14:14,6.34,-102.98,58.1,19.0,24,34.6,77.0,22.1,0.83,1.11,12.90,8.07,32.3,-0.11,0.04,NA,1.61,50,48,28,347,55,2984,460,4312,4146,6.64,7.12,16960,0.732,306105,60313,366418,3630,10
TARA_X000001388,12/15/09 16:17,33.93,32.77,69.1,19.0,41,39.3,218.1,0.3,0.01,0.00,0.02,0.67,14.7,-0.86,0.03,NA,40.81,77,66,65,260,307,NA,NA,NA,NA,NA,NA,NA,NA,598682,48034,646716,669,NA
TARA_A100001011,12/15/09 16:17,33.93,32.77,69.1,19.0,41,39.3,218.1,0.3,0.01,0.00,0.02,0.67,14.7,-0.86,0.03,NA,40.81,77,66,65,260,307,2393,375,3191,3170,6.56,7.14,12843,0.755,598682,48034,646716,669,15
TARA_B100001758,3/1/12 11:55,34.10,-49.89,5.5,18.7,113,36.4,220.2,-1.2,0.25,0.06,0.68,0.80,13.8,0.21,0.05,NA,0.00,30,162,29,755,732,2962,445,4325,4069,6.71,7.14,15146,0.742,379018,54719,433737,7375,10
TARA_B100001964,12/2/11 17:44,14.17,-116.71,44.2,18.6,17,34.4,95.4,11.0,0.31,0.88,6.05,4.66,40.6,0.05,0.03,NA,2.67,40,38,29,364,46,3055,512,4997,4956,6.08,7.21,17574,0.738,4323439,93168,4416607,4746,31
TARA_A100000172,11/2/09 12:43,35.76,14.25,61.6,18.4,39,37.9,237.9,NA,0.03,0.01,0.02,0.62,23.2,0.14,0.00,NA,7.67,84,57,56,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TARA_S200000501,11/2/09 12:43,35.76,14.25,61.6,18.4,39,37.9,237.9,NA,0.03,0.01,0.02,0.62,23.2,0.14,0.00,NA,7.67,84,57,56,395,NA,2746,434,4034,3922,6.55,7.14,14088,0.748,NA,NA,NA,NA,13
TARA_E500000318,11/23/09 9:14,39.39,19.39,5.5,18.3,29,38.2,218.0,NA,0.00,0.01,0.03,1.05,13.6,0.18,0.02,NA,1.25,54,38,33,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,264404,34000,298404,1123,NA
TARA_E500000178,11/23/09 9:14,39.39,19.39,5.5,18.3,29,38.2,218.0,NA,0.00,0.01,0.03,1.05,13.6,0.18,0.02,NA,1.25,54,38,33,374,NA,2724,419,3720,3635,6.71,7.17,14408,0.749,264404,34000,298404,1123,21
TARA_B100001750,2/27/12 18:43,34.02,-56.87,246.4,18.2,64,36.6,191.8,4.0,0.03,0.18,4.13,1.62,16.1,0.01,0.03,NA,1.19,38,176,29,262,318,3903,602,6550,6474,6.45,7.18,19854,0.726,174983,0,174983,0,15
TARA_B100001063,3/12/11 11:49,-34.05,-73.08,5.3,18.0,22,34.3,244.9,-1.5,0.01,0.52,0.02,0.09,37.3,-0.07,0.04,NA,3.86,32,34,29,144,51,3225,447,4762,4659,6.85,7.33,17398,0.751,1495550,223179,1718729,8666,9
TARA_B100001778,3/5/12 21:32,35.75,-37.05,39.8,17.7,77,36.2,230.1,1.2,0.04,0.00,0.17,0.84,20.5,-0.18,0.04,NA,22.03,43,101,28,482,110,2919,449,4225,4040,6.75,7.22,17444,0.739,579589,114413,694003,6137,12
TARA_E500000075,11/18/09 8:23,42.21,17.71,5.5,17.6,9,38.2,220.0,NA,0.01,0.01,0.04,1.38,7.7,-0.39,0.00,NA,1.89,54,55,32,157,NA,2658,408,3735,3632,6.58,7.13,14477,0.745,746759,57854,804613,1499,18
