SRA read accession,Lat,Lon,Ocean region,Depth category,depth_cat,Depth (m),Temp (°C),Oxygen (umol/kg),OMZ?,TARA Station
ERR598981,-12.93,-96.12,Pacific,MES,OMZ,175.3,13,0.7,Yes,100
ERR599063,-12.99,-95.99,Pacific,SRF,SRF,5.5,25.3,200.2,-,100
ERR599115,35.31,-127.74,Pacific,MES,OMZ,644.6,4.9,8.6,Yes,133
ERR599052,35.41,-127.74,Pacific,SRF,SRF,5.5,19.2,224.4,-,133
ERR599020,-1.87,-84.62,Pacific,MES,OMZ,376.9,10.3,1.3,Yes,110
ERR599039,-2.01,-84.59,Pacific,SRF,SRF,5.5,23.9,190.8,-,110
ERR599076,14.17,-116.66,Pacific,MES,OMZ,371,8.9,0.6,Yes,137
ERR598989,14.2,-116.63,Pacific,SRF,SRF,5.4,26.4,195.1,-,137
ERR599048,-8.8,-17.91,Atlantic,MES,MES,792.7,4.7,143.2,No,72
ERR599105,-8.78,-17.91,Atlantic,SRF,SRF,5.8,25,199.1,-,72
ERR598964,34.1,-49.78,Atlantic,MES,MES,734.3,10.6,155.2,No,149
ERR598963,34.1,-49.89,Atlantic,SRF,SRF,5.5,18.7,220.2,-,149
ERR599125,-61.98,-49.45,Polar,MES,MES,783.8,0.5,203.8,No,85
ERR599176,-62.03,-49.54,Polar,SRF,SRF,5.9,0.7,343.4,-,85
ERR3589593,76.12,1.36,Polar,MES,MES,490.5,0.1,315.4,No,163
ERR3589586,76.18,1.39,Polar,SRF,SRF,5,1.9,363,-,163