SRA read accession,Lat,Lon,Ocean region,Depth category,depth_cat,Depth (m),Temp (Â°C),Oxygen (umol/kg),OMZ?,TARA Station,percent_oxido_classifier,percent_annotated_mgrast,percent_oxido_mgrast,percent_annotated_mifaser,percent_oxido_mifaser
ERR598981,-12.93,-96.12,Pacific,MES,OMZ,175.3,13.0,0.7,Yes,100,0.2022505,0.3316388715387341,0.03195093779022087,0.02166735,0.0034083
ERR599063,-12.99,-95.99,Pacific,SRF,SRF,5.5,25.3,200.2,-,100,0.1818148,0.4030682329921763,0.03693002703371913,0.0017074,0.00035295
ERR599115,35.31,-127.74,Pacific,MES,OMZ,644.6,4.9,8.6,Yes,133,0.20011295,0.31752385890579854,0.027881516111887866,0.01009925,0.0016292
ERR599052,35.41,-127.74,Pacific,SRF,SRF,5.5,19.2,224.4,-,133,0.18589795,0.36861522603356667,0.035760870306291576,0.01274145,0.00254785
ERR599020,-1.87,-84.62,Pacific,MES,OMZ,376.9,10.3,1.3,Yes,110,0.1873796,0.30129490186554525,0.030652052483239493,0.01940735,0.0033463
ERR599076,14.17,-116.66,Pacific,MES,OMZ,371.0,8.9,0.6,Yes,137,0.20611765,0.32056593728010657,0.00010743786210871418,0.0187995,0.00294185
ERR598989,14.2,-116.63,Pacific,SRF,SRF,5.4,26.4,195.1,-,137,0.1820631,0.3760710624496025,0.03633941993559212,0.0240789,0.00482925
ERR599048,-8.8,-17.91,Atlantic,MES,MES,792.7,4.7,143.2,No,72,0.18532875,0.30672847216016647,0.027508114161476527,0.01875675,0.00385215
ERR599105,-8.78,-17.91,Atlantic,SRF,SRF,5.8,25.0,199.1,-,72,0.1639679,0.2789518184964626,0.023179967240355936,0.01606875,0.00383555
ERR598964,34.1,-49.78,Atlantic,MES,MES,734.3,10.6,155.2,No,149,0.19746295,0.303269300604755,0.029167200891201686,0.0173219,0.0028291
ERR598963,34.1,-49.89,Atlantic,SRF,SRF,5.5,18.7,220.2,-,149,0.18304255,0.2895966918476208,0.02936769158901829,0.0182741,0.0033924
ERR599125,-61.98,-49.45,Polar,MES,MES,783.8,0.5,203.8,No,85,0.19231405,0.26703858254288176,0.022185653815041145,0.01505965,0.0024543
ERR599176,-62.03,-49.54,Polar,SRF,SRF,5.9,0.7,343.4,-,85,0.18617095,0.5025792209595991,0.04028553678378844,0.02717205,0.00470345
ERR3589593,76.12,1.36,Polar,MES,MES,490.5,0.1,315.4,No,163,0.1847449,0.290377068885277,0.02690564975676061,0.01815755,0.0029441
ERR3589586,76.18,1.39,Polar,SRF,SRF,5.0,1.9,363.0,-,163,0.1963726,0.47189336584745273,0.000170987331935718,0.0285594,0.00591445
